id	lat	long	name
0	36.05404359	24.90120635	Brew've Been Served
1	36.04803048	24.87957465	Hallowed Grounds
2	36.04802353	24.87957602	Coffee Cameleon
10	36.06582671	24.8523651	Bean There Done That
11	36.05448813	24.89995437	Brewed Awakenings
12	36.0766876	24.85759852	Jack's Magical Beans
13	36.04802304	24.87957219	Katerinas Café
14	36.07215696	24.8746277	Hippokampos
15	36.04802877	24.87957285	Abila Zacharo
16	36.04802986	24.87957079	Gelatogalore
17	36.04802301	24.87956748	Kalami Kafenion
18	36.05195855	24.87078366	Ouzeri Elian
19	36.04802875	24.87957298	Guy's Gyros
20	36.06775703	24.87150031	U-Pump
21	36.05857784	24.89729148	Frydos Autosupply n' More
22	36.07529304	24.85626837	Albert's Fine Clothing
23	36.05282959	24.86858716	Shoppers' Delight
25	36.07212045	24.84134818	Frank's Fuel
26	36.04803132	24.87956596	Chostus Hotel
27	36.06785144	24.89913531	General Grocer
28	36.04802586	24.87957016	Kronos Mart
29	36.05852747	24.85788532	Octavio's Office Supplies
30	36.06036398	24.90567258	Roberts and Sons
32	36.08960022	24.86066592	Desafio Golf Course
